street,x,y,type,hour,week_day,day_type,day,month,year,minute
Av. Edmundo Pérez Zujovic,-70.392283,-23.617475,JAM,10,4,s,23,8,2024,37
Av. Grecia,-70.402438,-23.650212,JAM,12,4,s,23,8,2024,5
Av. Grecia,-70.402429,-23.649991,JAM,12,4,s,23,8,2024,6
Av. Balmaceda,-70.400096,-23.645631,JAM,12,4,s,23,8,2024,5
Av. Balmaceda,-70.401486,-23.647052,JAM,12,4,s,23,8,2024,14
Av. Balmaceda,-70.40067,-23.646408,JAM,12,4,s,23,8,2024,11
Av. Grecia,-70.40227,-23.64778,JAM,12,4,s,23,8,2024,12
Av. Balmaceda,-70.402148,-23.647605,JAM,12,4,s,23,8,2024,13
Av. Balmaceda,-70.39966,-23.645623,JAM,12,4,s,23,8,2024,17
Av. Edmundo Pérez Zujovic,-70.392306,-23.61772,JAM,12,4,s,23,8,2024,22
Av. Balmaceda,-70.401055,-23.646699,JAM,12,4,s,23,8,2024,34
Av. Grecia,-70.402739,-23.658426,JAM,12,4,s,23,8,2024,44
Av. Grecia,-70.402899,-23.658888,JAM,12,4,s,23,8,2024,42
Av. Edmundo Pérez Zujovic,-70.392432,-23.618941,JAM,12,4,s,23,8,2024,45
Av. Balmaceda,-70.396783,-23.641943,JAM,12,4,s,23,8,2024,44
Av. Grecia,-70.402463,-23.650814,JAM,12,4,s,23,8,2024,58
Av. Grecia,-70.402506,-23.655789,JAM,13,4,s,23,8,2024,0
Av. Grecia,-70.402621,-23.6546,JAM,13,4,s,23,8,2024,1
Av. Balmaceda,-70.399316,-23.645355,JAM,13,4,s,23,8,2024,0
Av. Séptimo de Línea,-70.396203,-23.640586,JAM,13,4,s,23,8,2024,3
Av. Edmundo Pérez Zujovic,-70.395669,-23.636586,JAM,13,4,s,23,8,2024,8
Av. Grecia,-70.402536,-23.652761,JAM,13,4,s,23,8,2024,10
Av. Edmundo Pérez Zujovic,-70.395696,-23.633673,JAM,13,4,s,23,8,2024,16
Nicolás Tirado,-70.395644,-23.592354,JAM,13,4,s,23,8,2024,17
Nicolás Tirado,-70.391813,-23.592252,JAM,13,4,s,23,8,2024,18
Av. Pedro Aguirre Cerda,-70.390357,-23.582823,JAM,13,4,s,23,8,2024,24
Av. Edmundo Pérez Zujovic,-70.392064,-23.607924,JAM,13,4,s,23,8,2024,25
Av. Edmundo Pérez Zujovic,-70.396441,-23.626434,JAM,13,4,s,23,8,2024,34
Av. Grecia,-70.402444,-23.656219,JAM,13,4,s,23,8,2024,34
Av. Edmundo Pérez Zujovic,-70.395675,-23.632931,JAM,13,4,s,23,8,2024,32
Av. Grecia,-70.403755,-23.664298,JAM,13,4,s,23,8,2024,43
Av. Edmundo Pérez Zujovic,-70.395793,-23.632015,JAM,13,4,s,23,8,2024,43
Av. Iquique,-70.392617,-23.62376,JAM,13,4,s,23,8,2024,47
Av. Edmundo Pérez Zujovic,-70.396332,-23.626363,JAM,13,4,s,23,8,2024,48
Av. Balmaceda,-70.401423,-23.646553,JAM,13,4,s,23,8,2024,56
Av. Edmundo Pérez Zujovic,-70.395712,-23.635413,JAM,14,4,s,23,8,2024,3
Av. Iquique,-70.393906,-23.631183,JAM,14,4,s,23,8,2024,16
Av. Edmundo Pérez Zujovic,-70.392748,-23.620187,JAM,14,4,s,23,8,2024,14
Av. Edmundo Pérez Zujovic,-70.395834,-23.635564,JAM,14,4,s,23,8,2024,23
